review,label,predicted_label
that would have been nice if it had been updated overall still is a good product price was good,3,1
it said it was new when it was NOT it had been used already but next time i know i will make sure to read the details,3,2
iPhone is too big for pouch.,3,1
"Got it for my 2008 ml350.  Works great for streaming music from iphone to my car system but  does not connect the phone function.  When I get a call, the music mutes automatically but I can't connect to my phone using the car's controls - like on the steering wheel.  I have to pick up my phone and use it directly, so the Viseeo only does half the job I was looking for. However, I think that's a limitation with  my car's system, not  with the Viseeo.  I wish the Viseeo's literature was more clear and complete on that issue.  Videos on youtube are misleading on this because some car systems seem to allow the phone functions along with  playing music while other cars allow only the music.",3,1
I purchased this for my mom for Christmas 2012.  It is now May and the flip cover is hanging by threads.  The style of it is really amazing and it is great for readers who don't want to hold their Nook as they read or watch shows.  However the fact that even though she only opens and closes it about 5-9 times a weeks shows that the way it holds up over a period of time leaves something to be desired.,3,2
What i didn't like is that the panel its self doesn't have very good adhesive so it doesn't stick to the plastic very well and it came with bad wires,3,1
"This is a very handy unit. Uaing a 3.5mm to standard audio plug adapter, I was able to connect my Bluetooth headphones to my stereo receiver. However, I had to play around with the receiver volumen and the headphone volumen until I got a decent sound level without distortion.",3,1
"Works well with the older Ipod and Ipod classic Video. However, even though the radio portion works well with the Ipod touch 3g - the remote portion is useless. Bottom line - if you have the older Ipods ok - If trying it with the ipod touch - unless you just want an FM Radio - stay away.",3,2
"the sides protectors just too easy to brake appart, the sound is ok for regular street users low rms speakers not much, does not blow womem dress way.",3,2
"Only problem I have with this is the fact that the little trim plate around the radio is loose. It doesn't snap into the clips inside the mounting as it should, and thus, it keeps falling out. This is only a problem because the face of my stereo slides itself outward in order to be removed every time the car is turned off. After three or four times of this, the trim pops off in the midst of driving down the road, or while the stereo face is attempting to slide outward.",3,2
"When I got it and looked at it, it seemed to be in alright condition. Sometimes, though when I'm listening to it and it's on hold and placed in my pocket, it likes to pause the song. Imagine how frustrating that can get when it pauses every 2 seconds until you decide to just hold the damn thing.",3,2
"As a standalone sleeve, the product does a good job. However, the belt clip is large and bulky, causing the sleeve and iPhone to stick out dramatically from your hip. Mine would constantly catch on the seat when getting in and out of the car. The clip was also very tight and difficult to open and close over a belt. After only two weeks of use, the belt clip ripped from the back of the sleeve after a snag. The sleeve and phone went flying across the asphalt and the top of the phone (where there is no protection) was badly dinged.  Marware offered to replace the case, but I've kept the sleeve, using it as a pocket protector.",3,2
